[rosmaster.master][INFO] 2024-04-16 02:44:08,448: +SERVICE [/reset] /turtlesim http://tasneem-virtual-machine:45855/
[rosmaster.master][INFO] 2024-04-16 02:44:08,450: +SERVICE [/spawn] /turtlesim http://tasneem-virtual-machine:45855/
[rosmaster.master][INFO] 2024-04-16 02:44:08,452: +SERVICE [/kill] /turtlesim http://tasneem-virtual-machine:45855/
[rosmaster.master][INFO] 2024-04-16 02:44:08,455: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlesim
[rosmaster.master][INFO] 2024-04-16 02:44:08,468: +SUB [/turtle1/cmd_vel] /turtlesim http://tasneem-virtual-machine:45855/
[rosmaster.master][INFO] 2024-04-16 02:44:08,470: +PUB [/turtle1/pose] /turtlesim http://tasneem-virtual-machine:45855/
[rosmaster.master][INFO] 2024-04-16 02:44:08,472: +PUB [/turtle1/color_sensor] /turtlesim http://tasneem-virtual-machine:45855/
[rosmaster.master][INFO] 2024-04-16 02:44:08,475: +SERVICE [/turtle1/set_pen] /turtlesim http://tasneem-virtual-machine:45855/
[rosmaster.master][INFO] 2024-04-16 02:44:08,478: +SERVICE [/turtle1/teleport_relative] /turtlesim http://tasneem-virtual-machine:45855/
[rosmaster.master][INFO] 2024-04-16 02:44:08,481: +SERVICE [/turtle1/teleport_absolute] /turtlesim http://tasneem-virtual-machine:45855/
[rosmaster.master][INFO] 2024-04-16 02:46:40,985: +PUB [/rosout] /teleop_turtle http://tasneem-virtual-machine:39173/
[rosmaster.master][INFO] 2024-04-16 02:46:40,987: +SERVICE [/teleop_turtle/get_loggers] /teleop_turtle http://tasneem-virtual-machine:39173/
[rosmaster.master][INFO] 2024-04-16 02:46:40,988: +SERVICE [/teleop_turtle/set_logger_level] /teleop_turtle http://tasneem-virtual-machine:39173/
[rosmaster.master][INFO] 2024-04-16 02:46:40,995: +PUB [/turtle1/cmd_vel] /teleop_turtle http://tasneem-virtual-machine:39173/
[rosmaster.master][INFO] 2024-04-16 02:46:41,005: publisherUpdate[/rosout] -> http://tasneem-virtual-machine:37869/ ['http://tasneem-virtual-machine:45855/', 'http://tasneem-virtual-machine:39173/']
[rosmaster.master][INFO] 2024-04-16 02:46:41,008: publisherUpdate[/rosout] -> http://tasneem-virtual-machine:37869/ ['http://tasneem-virtual-machine:45855/', 'http://tasneem-virtual-machine:39173/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-04-16 02:46:41,008: publisherUpdate[/turtle1/cmd_vel] -> http://tasneem-virtual-machine:45855/ ['http://tasneem-virtual-machine:39173/']
[rosmaster.master][INFO] 2024-04-16 02:46:41,012: publisherUpdate[/turtle1/cmd_vel] -> http://tasneem-virtual-machine:45855/ ['http://tasneem-virtual-machine:39173/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-04-16 02:48:53,163: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2024-04-16 02:49:14,740: -PUB [/rosout_agg] /rosout http://tasneem-virtual-machine:37869/
[rosmaster.master][INFO] 2024-04-16 02:49:14,744: -SUB [/rosout] /rosout http://tasneem-virtual-machine:37869/
[rosmaster.master][INFO] 2024-04-16 02:49:14,747: -SERVICE [/rosout/get_loggers] /rosout rosrpc://tasneem-virtual-machine:37485
[rosmaster.master][INFO] 2024-04-16 02:49:14,750: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://tasneem-virtual-machine:37485
[rosmaster.master][INFO] 2024-04-16 02:49:14,754: -CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.main][INFO] 2024-04-16 02:49:14,866: keyboard interrupt, will exit
[rosmaster.main][INFO] 2024-04-16 02:49:14,866: stopping master...
[rospy.core][INFO] 2024-04-16 02:49:14,866: signal_shutdown [atexit]
